Name,Category,DefaultPrice,HexColor,LogoUrl
Netflix,Divertissement,13.49,#E50914,
Spotify,Musique,10.99,#1DB954,
Adobe Creative Cloud,Travail,29.99,#FF0000,
Amazon Prime,Divertissement,6.99,#00A8E1,
YouTube Premium,Divertissement,12.99,#FF0000,
Apple Music,Musique,10.99,#FA243C,
Microsoft 365,Travail,7.00,#0078D4,
ChatGPT Plus,Travail,20.00,#74AA9C,
Fitness Park,Sport,30.00,#FFCC00,
Basic Fit,Sport,19.99,#FF6600,
Uber One,Transport,5.99,#000000,
Google One,Utilitaires,1.99,#4285F4,
iCloud+,Utilitaires,0.99,#000000,
HelloFresh,Alimentation,50.00,#93C90E,
Disney+,Divertissement,8.99,#113CCF,
Canal+,Divertissement,22.99,#000000,
Xbox Game Pass,Jeux Vidéo,14.99,#107C10,
PlayStation Plus,Jeux Vidéo,13.99,#00439C,
Nintendo Switch Online,Jeux Vidéo,3.99,#E60012,
Discord Nitro,Social,9.99,#5865F2,
Twitch,Divertissement,3.99,#9146FF,
Deezer,Musique,11.99,#A238FF,
Audible,Divertissement,9.95,#F7991F,
Dropbox,Utilitaires,11.99,#0061FF,
NordVPN,Sécurité,12.99,#4687FF,
Dashlane,Sécurité,3.99,#0E353D,
1Password,Sécurité,7.99,#0572EC,
GitHub Copilot,Travail,10.00,#171515,
LinkedIn Premium,Travail,29.99,#0077B5,
Notion Plus,Travail,8.00,#000000,
Slack Pro,Travail,7.25,#4A154B,
Zoom Pro,Travail,13.99,#2D8CFF,
Canva Pro,Travail,11.99,#00C4CC,
Le Monde,Information,9.99,#FFC300,
Mediapart,Information,11.00,#D1233F,
Deliveroo Plus,Alimentation,5.99,#00CCBC,
Ubereats Pass,Alimentation,5.99,#06C167,
Tinder Gold,Social,14.99,#FE3C72,
Bumble Boost,Social,8.99,#FFC629,
Strava Summit,Sport,7.99,#FC4C02,
Freeletics,Sport,12.99,#222222,
Navigo (IDF),Transport,84.10,#2AB7C1,
HP Instant Ink,Utilitaires,4.99,#0096D6,
GeForce Now,Jeux Vidéo,9.99,#76B900,
Midjourney,Travail,10.00,#FFFFFF,
